# R@VT IREC 2026 (Up to date)
# 3169 data points written for 15 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.1 m/s):  "SkyAngle Classic II 36 [Cd 1.34 (8.4 oz) 56.6 in^3] With Shock Cord"
#   Recovery device deployment at high speed (23.7 m/s):  "SkyAngle Classic Cert-3 XL (MUTD)"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Latitude (° N),Longitude (° E),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Gravitational acceleration (m/s²),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
8.185851562499685,1725.915056488937,1927.083056488937,194.20172944676645,196.51674096972312,-16.199583565318818,16.23121770284946,37.194791593885675,-80.3917725498975,0,-0.405402145490359,0.172640706218147,9.793300419563481,0.01,0.354668833
8.195851562499685,1727.8562640186638,1929.0242640186639,194.0397979270877,196.35516885550513,-16.18671836410838,16.218265652770178,37.19479159564469,-80.39176916301446,0,-0.425212971279655,0.113755209353627,9.793294453446274,0.01,0.354924458
8.205851562499685,1729.7958528760619,1930.963852876062,193.87799494456402,196.1937275933382,-16.173876761634943,16.205339503537573,37.19479159740506,-80.39176577727022,0,-0.434541006758546,0.06662708569421,9.793288492309358,0.01,0.355172333
8.215851562499685,1731.7338243453198,1932.9018243453197,193.71632026776552,196.03241689656545,-16.16105669256689,16.192437976257988,37.19479159916693,-80.39176239266281,0,-0.437676157482656,0.027470897330882,9.79328253614876,0.01,0.355422458
8.225851562499685,1733.6701797084477,1934.8381797084476,193.55477367664918,195.87123647940214,-16.148258082937126,16.179560979838072,37.19479160093042,-80.39175900919034,0,-0.437677663439341,-0.008500615849285,9.793276584960534,0.01,0.3556835
8.235851562499684,1735.6049202452837,1936.7729202452838,193.39335497114584,195.71018605693374,-16.135479654545236,16.166707700945793,37.19479160269569,-80.39175562685088,0,-0.434331063677184,-0.043585442741181,9.793270638740728,0.01,0.355932125
8.245851562499684,1737.5380472336294,1938.7060472336293,193.23206395617478,195.54926534510355,-16.122720221680915,16.15387737400374,37.1947916044629,-80.39175224564268,0,-0.428690632451632,-0.071974424297783,9.793264697485407,0.01,0.356198208
8.255851562499684,1739.4695619494953,1940.6375619494952,193.07090043797066,195.3884740606958,-16.109980217300503,16.14107021176243,37.19479160623219,-80.39174886556398,0,-0.422053672184907,-0.099165157573746,9.793258761190629,0.01,0.356443875
8.265851562499684,1741.3994656668392,1942.5674656668393,192.90986421952246,195.22781192134033,-16.097260662621757,16.128286781550155,37.19479160800366,-80.3917454866131,0,-0.412978558484184,-0.129578060456516,9.793252829852472,0.01,0.356692333
8.275851562499684,1743.3277596576386,1944.4957596576387,192.74895509817398,195.0672786455032,-16.08456167839277,16.115527105721643,37.19479160977749,-80.39174210878848,0,-0.39951673699196,-0.162892614113955,9.793246903467008,0.01,0.356938333
8.285851562499683,1745.254445191813,1946.422445191813,192.5881728511987,194.90687395248915,-16.07188557645302,16.102792520785428,37.19479161155376,-80.39173873208854,0,-0.385648150830107,-0.193694899143437,9.793240982030328,0.01,0.357183542
8.295851562499683,1747.1795235368877,1948.3475235368878,192.427517238105,194.74659756245086,-16.059233825635857,16.090083870501303,37.19479161333258,-80.39173535651177,0,-0.36801644376994,-0.223890571117863,9.793235065538513,0.01,0.357431083
8.305851562499683,1749.1029959580776,1950.2709959580775,192.26698804278783,194.5864491963864,-16.046602867810936,16.077398983259208,37.194791615114035,-80.3917319820567,0,-0.34065660699143,-0.261781946347982,9.793229153987665,0.01,0.35767625
8.315851562499683,1751.024863718496,1952.192863718496,192.10658504929935,194.42642857612032,-16.033993273306372,16.06473815486025,37.194791616898186,-80.3917286087219,0,-0.300614103167697,-0.305643039011066,9.79322324737389,0.01,0.357921792
8.325851562499683,1752.9451280791166,1954.1131280791164,191.9463080459541,194.26653542430486,-16.02140548213765,16.05210161172774,37.1947916186851,-80.39172523650603,0,-0.240151704844979,-0.354525650549645,9.793217345693307,0.01,0.35816725
8.335851562499682,1754.8637902986802,1956.0317902986803,191.7861567971169,194.1067694644134,-16.008842507636384,16.039491127648475,37.194791620474845,-80.39172186540775,0,-0.155524359469938,-0.399058762571854,9.793211448942019,0.01,0.358418417
